Feature,Importance
CreditHistoryAge_23 Years and 10 Months,0.0005384107405595296
Name_McCooll,0.0005359258458887627
Name_Alan Wheatleyx,0.0005357191882593271
SSN_991-58-6499,0.0005345898454583954
CreditHistoryAge_11 Years and 0 Months,0.0005325185699338766
CreditHistoryAge_21 Years and 1 Months,0.0005322519726820773
Occupation_Teacher,0.0005322098416239491
CreditHistoryAge_21 Years and 10 Months,0.0005320865795062419
"TypeofLoan_Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",0.0005281074327857567
CustomerID_CUS0x1425,0.0005279405147004685
CustomerID_CUS0x2a4e,0.0005275690675953501
PaymentBehaviour_LowspentLargevaluepayments,0.0005223383295717754
"TypeofLoan_Personal Loan, Mortgage Loan, and Payday Loan",0.0005206628778185433
CreditHistoryAge_25 Years and 7 Months,0.000519661218187171
"TypeofLoan_Personal Loan, Not Specified, and Credit-Builder Loan",0.0005194017731651937
SSN_733-71-6520,0.0005187084547334278
SSN_084-02-0981,0.0005172279680135291
Name_Alex Frewm,0.0005170898353249034
CustomerID_CUS0x2617,0.0005170727627614303
CreditHistoryAge_29 Years and 0 Months,0.000516170759515325
CustomerID_CUS0xbb2,0.0005160118437021743
CreditHistoryAge_10 Years and 4 Months,0.000511008528406244
Name_Poornimaj,0.0005101704881249715
SSN_599-00-9018,0.0005080541041966024
SSN_767-68-3847,0.0005079005673505298
Name_Mlcochovax,0.0005071822525054444
Name_Days,0.000507132899900049
Name_Kaou,0.0005052687446800302
SSN_789-29-5186,0.0005033815145375939
"TypeofLoan_Auto Loan, Personal Loan, Personal Loan, and Payday Loan",0.0005020049455775708
CustomerID_CUS0x99b4,0.0005014940002536483
Name_Jennifer Sabay,0.0005000734608549352
CustomerID_CUS0x4ef2,0.0005000010268945899
CreditHistoryAge_30 Years and 10 Months,0.0004987957048826412
Name_Andreaf,0.0004983426562869952
SSN_287-80-7372,0.000497558345253327
Month_January,0.0004973832881819928
CreditHistoryAge_31 Years and 2 Months,0.0004949882866990659
CustomerID_CUS0x8c77,0.0004944661580112169
CreditHistoryAge_33 Years and 3 Months,0.0004923064382377964
CreditHistoryAge_29 Years and 11 Months,0.0004901221761706623
Name_Garzas,0.0004892321747422285
Name_Brettk,0.00048713914638276386
CreditHistoryAge_25 Years and 1 Months,0.0004856967935283112
"TypeofLoan_Mortgage Loan, Home Equity Loan, Auto Loan, Not Specified, Not Specified, and Debt Consolidation Loan",0.00048493485793551074
CreditHistoryAge_30 Years and 8 Months,0.00048399824906072725
Name_Suzanne Barlyno,0.0004833399932999108
